,50,100,500,1000
OSR1,0.059233114,0.128504316,0.139384699,0.138737263
OSR0.8,0.066414391,0.127924304,0.136485519,0.13831234
OSR0.6,0.034871184,0.116935661,0.138012778,0.139551404
OSR0.4,-0.049041498,0.082034053,0.141374944,0.141383974
OSR0.2,-0.114622002,-0.058476483,0.141898255,0.142615508
OSR0.1,-0.125166667,-0.146031561,0.116530015,0.142480401
OSR.05,-0.123340983,-0.162971667,-0.0043863,0.11922589
