"","1000","500","100","50"
"OSR1",-0.0346005555555555,-0.0340762222222222,-0.0353622222222222,-0.0706933333333333
"OSR.8",-0.0300764102564102,-0.0313023076923077,-0.0350846153846153,-0.101774358974359
"OSR.6",-0.0275534848484848,-0.0278436363636363,-0.0428348484848485,-0.129439393939394
"OSR.4",-0.0222972222222222,-0.0237088888888889,-0.08725,-0.131477777777778
"OSR.2",-0.0180971428571428,-0.01624,-0.128895238095238,-0.0846666666666667
"OSR.1",-0.0130472222222222,-0.0294261111111111,-0.101666666666667,-0.047
"OSR.05",-0.0260842424242424,-0.168073333333333,-0.053,-0.005
