rd,OSR.2,OSR.1,OSR.5
0,0.038857259,-0.027411874,-0.011666667
0.02,0.108123554,0.098184549,0.093
0.04,0.109428629,0.109460075,0.119333333
0.06,0.108768526,0.117457987,0.121333333
0.08,0.109979573,0.113270094,0.123
0.1,0.113841129,0.11707039,0.116
0.12,0.124041522,0.113,0.123666667
0.14,0.124792576,0.124819688,0.117
0.16,0.127958402,0.126333333,0.122333333
0.18,0.123695764,0.120059572,0.122
0.2,0.141952011,0.131333333,0.123
0.22,0.14021188,0.122,0.118666667
0.24,0.145658843,0.135221277,0.131
0.26,0.146668685,0.140666667,0.124666667
0.28,0.156181701,0.133333333,0.125333333
0.3,0.159242989,0.140666667,0.126666667
0.32,0.145545096,0.129333333,0.124
0.34,0.155011198,0.136,0.127333333
0.36,0.163946205,0.143666667,0.13
0.38,0.153290971,0.140333333,0.133666667
0.4,0.166056295,0.131,0.130666667
0.42,0.164801818,0.135666667,0.125
0.44,0.166230675,0.140333333,0.119333333
0.46,0.169053368,0.137,0.129
0.48,0.174869339,0.141666667,0.130666667
