rd,OSR.2,OSR.1,OSR.5
0,-0.299666667,-0.241,-0.174666667
0.02,-0.326666667,-0.295333333,-0.238
0.04,-0.327719718,-0.295960583,-0.254
0.06,-0.322598168,-0.298999507,-0.254666667
0.08,-0.321395413,-0.297333333,-0.253666667
0.1,-0.31677905,-0.286666667,-0.258666667
0.12,-0.318944635,-0.281,-0.245666667
0.14,-0.311211185,-0.272666667,-0.245666667
0.16,-0.310206453,-0.270333333,-0.246666667
0.18,-0.303921054,-0.27,-0.238
0.2,-0.300016006,-0.264,-0.229333333
0.22,-0.297258905,-0.263666667,-0.235
0.24,-0.28894958,-0.253666667,-0.23
0.26,-0.280540792,-0.242666667,-0.228666667
0.28,-0.28035354,-0.244,-0.227
0.3,-0.277690916,-0.235,-0.215666667
0.32,-0.274089415,-0.228333333,-0.223333333
0.34,-0.269085847,-0.233333333,-0.224333333
0.36,-0.270445551,-0.226333333,-0.22
0.38,-0.256831467,-0.227333333,-0.216
0.4,-0.250996033,-0.224333333,-0.223
0.42,-0.257609477,-0.225,-0.216333333
0.44,-0.256618581,-0.232333333,-0.219666667
0.46,-0.250173072,-0.228,-0.216333333
0.48,-0.252797211,-0.220333333,-0.218666667
