"","rd","variable","value"
"1",0.02,"500.h0",-0.120958452444444
"2",0.04,"500.h0",-0.137329946666667
"3",0.06,"500.h0",-0.148699199703704
"4",0.08,"500.h0",-0.157424074666667
"5",0.1,"500.h0",-0.165030680888889
"6",0.12,"500.h0",-0.171130872888889
"7",0.14,"500.h0",-0.176911786074074
"8",0.16,"500.h0",-0.182967034666667
"9",0.18,"500.h0",-0.186818441481481
"10",0.2,"500.h0",-0.191980201185185
"11",0.22,"500.h0",-0.195225153777778
"12",0.24,"500.h0",-0.197569871703704
"13",0.26,"500.h0",-0.20098944562963
"14",0.28,"500.h0",-0.20357443762963
"15",0.3,"500.h0",-0.205954312296296
"16",0.32,"500.h0",-0.207440097185185
"17",0.34,"500.h0",-0.210924877925926
"18",0.36,"500.h0",-0.210164160592593
"19",0.38,"500.h0",-0.212949122666667
"20",0.4,"500.h0",-0.214650019555556
"21",0.42,"500.h0",-0.21750888562963
"22",0.44,"500.h0",-0.217060134814815
"23",0.46,"500.h0",-0.218857090074074
"24",0.48,"500.h0",-0.221555451259259
"25",0.02,"500.h0.5",0.272625027733333
"26",0.04,"500.h0.5",0.223544097540741
"27",0.06,"500.h0.5",0.188826904948148
"28",0.08,"500.h0.5",0.158768511111111
"29",0.1,"500.h0.5",0.137772588148148
"30",0.12,"500.h0.5",0.119579783940741
"31",0.14,"500.h0.5",0.104550415051852
"32",0.16,"500.h0.5",0.0959906833777778
"33",0.18,"500.h0.5",0.085357349037037
"34",0.2,"500.h0.5",0.0767935961481481
"35",0.22,"500.h0.5",0.0712934295703704
"36",0.24,"500.h0.5",0.0670066453925926
"37",0.26,"500.h0.5",0.0593350202666666
"38",0.28,"500.h0.5",0.0565825817481481
"39",0.3,"500.h0.5",0.0515160382222222
"40",0.32,"500.h0.5",0.0503091560888889
"41",0.34,"500.h0.5",0.046588272
"42",0.36,"500.h0.5",0.0435517632
"43",0.38,"500.h0.5",0.0421217204740741
"44",0.4,"500.h0.5",0.0419460386962963
"45",0.42,"500.h0.5",0.0395843309629629
"46",0.44,"500.h0.5",0.035527834962963
"47",0.46,"500.h0.5",0.0329040164148148
"48",0.48,"500.h0.5",0.0338497202962963
"49",0.02,"500.h1",0.332513125037037
"50",0.04,"500.h1",0.330110381925926
"51",0.06,"500.h1",0.326507462222222
"52",0.08,"500.h1",0.321076920888889
"53",0.1,"500.h1",0.315040930962963
"54",0.12,"500.h1",0.307965296
"55",0.14,"500.h1",0.301553250666667
"56",0.16,"500.h1",0.294881682074074
"57",0.18,"500.h1",0.287674368888889
"58",0.2,"500.h1",0.283219
"59",0.22,"500.h1",0.278385484740741
"60",0.24,"500.h1",0.272715301925926
"61",0.26,"500.h1",0.269885560888889
"62",0.28,"500.h1",0.264607361777778
"63",0.3,"500.h1",0.263292710222222
"64",0.32,"500.h1",0.260561139851852
"65",0.34,"500.h1",0.259486763851852
"66",0.36,"500.h1",0.258007706962963
"67",0.38,"500.h1",0.254874812740741
"68",0.4,"500.h1",0.25316497362963
"69",0.42,"500.h1",0.253109457481482
"70",0.44,"500.h1",0.252277060740741
"71",0.46,"500.h1",0.250383963851852
"72",0.48,"500.h1",0.251045584296296
