,rd,variable,value
1,0,OSR.2.h0,0.038857259
2,0.02,OSR.2.h0,0.108123554
3,0.04,OSR.2.h0,0.109428629
4,0.06,OSR.2.h0,0.108768526
5,0.08,OSR.2.h0,0.109979573
6,0.1,OSR.2.h0,0.113841129
7,0.12,OSR.2.h0,0.124041522
8,0.14,OSR.2.h0,0.124792576
9,0.16,OSR.2.h0,0.127958402
10,0.18,OSR.2.h0,0.123695764
11,0.2,OSR.2.h0,0.141952011
12,0.22,OSR.2.h0,0.14021188
13,0.24,OSR.2.h0,0.145658843
14,0.26,OSR.2.h0,0.146668685
15,0.28,OSR.2.h0,0.156181701
16,0.3,OSR.2.h0,0.159242989
17,0.32,OSR.2.h0,0.145545096
18,0.34,OSR.2.h0,0.155011198
19,0.36,OSR.2.h0,0.163946205
20,0.38,OSR.2.h0,0.153290971
21,0.4,OSR.2.h0,0.166056295
22,0.42,OSR.2.h0,0.164801818
23,0.44,OSR.2.h0,0.166230675
24,0.46,OSR.2.h0,0.169053368
25,0.48,OSR.2.h0,0.174869339
26,0,OSR.1.h0,-0.027411874
27,0.02,OSR.1.h0,0.098184549
28,0.04,OSR.1.h0,0.109460075
29,0.06,OSR.1.h0,0.117457987
30,0.08,OSR.1.h0,0.113270094
31,0.1,OSR.1.h0,0.11707039
32,0.12,OSR.1.h0,0.113
33,0.14,OSR.1.h0,0.124819688
34,0.16,OSR.1.h0,0.126333333
35,0.18,OSR.1.h0,0.120059572
36,0.2,OSR.1.h0,0.131333333
37,0.22,OSR.1.h0,0.122
38,0.24,OSR.1.h0,0.135221277
39,0.26,OSR.1.h0,0.140666667
40,0.28,OSR.1.h0,0.133333333
41,0.3,OSR.1.h0,0.140666667
42,0.32,OSR.1.h0,0.129333333
43,0.34,OSR.1.h0,0.136
44,0.36,OSR.1.h0,0.143666667
45,0.38,OSR.1.h0,0.140333333
46,0.4,OSR.1.h0,0.131
47,0.42,OSR.1.h0,0.135666667
48,0.44,OSR.1.h0,0.140333333
49,0.46,OSR.1.h0,0.137
50,0.48,OSR.1.h0,0.141666667
51,0,OSR.05.h0,-0.011666667
52,0.02,OSR.05.h0,0.093
53,0.04,OSR.05.h0,0.119333333
54,0.06,OSR.05.h0,0.121333333
55,0.08,OSR.05.h0,0.123
56,0.1,OSR.05.h0,0.116
57,0.12,OSR.05.h0,0.123666667
58,0.14,OSR.05.h0,0.117
59,0.16,OSR.05.h0,0.122333333
60,0.18,OSR.05.h0,0.122
61,0.2,OSR.05.h0,0.123
62,0.22,OSR.05.h0,0.118666667
63,0.24,OSR.05.h0,0.131
64,0.26,OSR.05.h0,0.124666667
65,0.28,OSR.05.h0,0.125333333
66,0.3,OSR.05.h0,0.126666667
67,0.32,OSR.05.h0,0.124
68,0.34,OSR.05.h0,0.127333333
69,0.36,OSR.05.h0,0.13
70,0.38,OSR.05.h0,0.133666667
71,0.4,OSR.05.h0,0.130666667
72,0.42,OSR.05.h0,0.125
73,0.44,OSR.05.h0,0.119333333
74,0.46,OSR.05.h0,0.129
75,0.48,OSR.05.h0,0.130666667
76,0,OSR.2.h05,-0.313166667
77,0.02,OSR.2.h05,-0.271437213
78,0.04,OSR.2.h05,-0.166890909
79,0.06,OSR.2.h05,-0.14315773
80,0.08,OSR.2.h05,-0.14225424
