,rd,variable,value
81,0.1,OSR.2.h05,-0.126187315
82,0.12,OSR.2.h05,-0.117365669
83,0.14,OSR.2.h05,-0.102413777
84,0.16,OSR.2.h05,-0.091334855
85,0.18,OSR.2.h05,-0.091771314
86,0.2,OSR.2.h05,-0.079712517
87,0.22,OSR.2.h05,-0.077496957
88,0.24,OSR.2.h05,-0.075365282
89,0.26,OSR.2.h05,-0.071157815
90,0.28,OSR.2.h05,-0.06034228
91,0.3,OSR.2.h05,-0.061322355
92,0.32,OSR.2.h05,-0.061186616
93,0.34,OSR.2.h05,-0.057223457
94,0.36,OSR.2.h05,-0.057840145
95,0.38,OSR.2.h05,-0.045010346
96,0.4,OSR.2.h05,-0.043553741
97,0.42,OSR.2.h05,-0.037021645
98,0.44,OSR.2.h05,-0.046550782
99,0.46,OSR.2.h05,-0.039216541
100,0.48,OSR.2.h05,-0.042519807
101,0,OSR.1.h05,-0.241833333
102,0.02,OSR.1.h05,-0.186862634
103,0.04,OSR.1.h05,-0.117179683
104,0.06,OSR.1.h05,-0.106943151
105,0.08,OSR.1.h05,-0.096666667
106,0.1,OSR.1.h05,-0.084
107,0.12,OSR.1.h05,-0.09
108,0.14,OSR.1.h05,-0.076
109,0.16,OSR.1.h05,-0.074666667
110,0.18,OSR.1.h05,-0.06
111,0.2,OSR.1.h05,-0.057333333
112,0.22,OSR.1.h05,-0.064
113,0.24,OSR.1.h05,-0.067333333
114,0.26,OSR.1.h05,-0.051333333
115,0.28,OSR.1.h05,-0.052666667
116,0.3,OSR.1.h05,-0.044333333
117,0.32,OSR.1.h05,-0.049
118,0.34,OSR.1.h05,-0.042
119,0.36,OSR.1.h05,-0.038333333
120,0.38,OSR.1.h05,-0.031666667
121,0.4,OSR.1.h05,-0.044
122,0.42,OSR.1.h05,-0.042
123,0.44,OSR.1.h05,-0.039
124,0.46,OSR.1.h05,-0.042333333
125,0.48,OSR.1.h05,-0.036666667
126,0,OSR.05.h05,-0.164833333
127,0.02,OSR.05.h05,-0.125
128,0.04,OSR.05.h05,-0.086333333
129,0.06,OSR.05.h05,-0.0695
130,0.08,OSR.05.h05,-0.075333333
131,0.1,OSR.05.h05,-0.065666667
132,0.12,OSR.05.h05,-0.065
133,0.14,OSR.05.h05,-0.059333333
134,0.16,OSR.05.h05,-0.054666667
135,0.18,OSR.05.h05,-0.056666667
136,0.2,OSR.05.h05,-0.047333333
137,0.22,OSR.05.h05,-0.034666667
138,0.24,OSR.05.h05,-0.055333333
139,0.26,OSR.05.h05,-0.055333333
140,0.28,OSR.05.h05,-0.039666667
141,0.3,OSR.05.h05,-0.053666667
142,0.32,OSR.05.h05,-0.046333333
143,0.34,OSR.05.h05,-0.052
144,0.36,OSR.05.h05,-0.035333333
145,0.38,OSR.05.h05,-0.041666667
146,0.4,OSR.05.h05,-0.039333333
147,0.42,OSR.05.h05,-0.049333333
148,0.44,OSR.05.h05,-0.036666667
149,0.46,OSR.05.h05,-0.040666667
150,0.48,OSR.05.h05,-0.031333333
151,0,OSR.2.h1,-0.299666667
152,0.02,OSR.2.h1,-0.326666667
153,0.04,OSR.2.h1,-0.327719718
154,0.06,OSR.2.h1,-0.322598168
155,0.08,OSR.2.h1,-0.321395413
156,0.1,OSR.2.h1,-0.31677905
157,0.12,OSR.2.h1,-0.318944635
158,0.14,OSR.2.h1,-0.311211185
159,0.16,OSR.2.h1,-0.310206453
160,0.18,OSR.2.h1,-0.303921054
161,0.2,OSR.2.h1,-0.300016006
162,0.22,OSR.2.h1,-0.297258905
163,0.24,OSR.2.h1,-0.28894958
164,0.26,OSR.2.h1,-0.280540792
165,0.28,OSR.2.h1,-0.28035354
166,0.3,OSR.2.h1,-0.277690916
167,0.32,OSR.2.h1,-0.274089415
168,0.34,OSR.2.h1,-0.269085847
169,0.36,OSR.2.h1,-0.270445551
170,0.38,OSR.2.h1,-0.256831467
171,0.4,OSR.2.h1,-0.250996033
172,0.42,OSR.2.h1,-0.257609477
173,0.44,OSR.2.h1,-0.256618581
174,0.46,OSR.2.h1,-0.250173072
175,0.48,OSR.2.h1,-0.252797211
176,0,OSR.1.h1,-0.241
177,0.02,OSR.1.h1,-0.295333333
178,0.04,OSR.1.h1,-0.295960583
179,0.06,OSR.1.h1,-0.298999507
180,0.08,OSR.1.h1,-0.297333333
181,0.1,OSR.1.h1,-0.286666667
182,0.12,OSR.1.h1,-0.281
183,0.14,OSR.1.h1,-0.272666667
184,0.16,OSR.1.h1,-0.270333333
185,0.18,OSR.1.h1,-0.27
186,0.2,OSR.1.h1,-0.264
187,0.22,OSR.1.h1,-0.263666667
188,0.24,OSR.1.h1,-0.253666667
189,0.26,OSR.1.h1,-0.242666667
190,0.28,OSR.1.h1,-0.244
191,0.3,OSR.1.h1,-0.235
192,0.32,OSR.1.h1,-0.228333333
193,0.34,OSR.1.h1,-0.233333333
194,0.36,OSR.1.h1,-0.226333333
195,0.38,OSR.1.h1,-0.227333333
196,0.4,OSR.1.h1,-0.224333333
197,0.42,OSR.1.h1,-0.225
198,0.44,OSR.1.h1,-0.232333333
199,0.46,OSR.1.h1,-0.228
200,0.48,OSR.1.h1,-0.220333333
201,0,OSR.05.h1,-0.174666667
202,0.02,OSR.05.h1,-0.238
203,0.04,OSR.05.h1,-0.254
204,0.06,OSR.05.h1,-0.254666667
205,0.08,OSR.05.h1,-0.253666667
206,0.1,OSR.05.h1,-0.258666667
207,0.12,OSR.05.h1,-0.245666667
208,0.14,OSR.05.h1,-0.245666667
209,0.16,OSR.05.h1,-0.246666667
210,0.18,OSR.05.h1,-0.238
211,0.2,OSR.05.h1,-0.229333333
212,0.22,OSR.05.h1,-0.235
213,0.24,OSR.05.h1,-0.23
214,0.26,OSR.05.h1,-0.228666667
215,0.28,OSR.05.h1,-0.227
216,0.3,OSR.05.h1,-0.215666667
217,0.32,OSR.05.h1,-0.223333333
218,0.34,OSR.05.h1,-0.224333333
219,0.36,OSR.05.h1,-0.22
220,0.38,OSR.05.h1,-0.216
221,0.4,OSR.05.h1,-0.223
222,0.42,OSR.05.h1,-0.216333333
223,0.44,OSR.05.h1,-0.219666667
224,0.46,OSR.05.h1,-0.216333333
225,0.48,OSR.05.h1,-0.218666667
