rd,OSR.2,OSR.1,OSR.5
0,-0.333333333,-0.332666667,-0.314666667
0.02,-0.332381735,-0.332279122,-0.33049956
0.04,-0.329664726,-0.329461767,-0.328309228
0.06,-0.325339584,-0.324365703,-0.326119285
0.08,-0.319827212,-0.318812748,-0.323211705
0.1,-0.313098865,-0.312535013,-0.321861857
0.12,-0.305253921,-0.305733666,-0.323109038
0.14,-0.298240322,-0.299611443,-0.320117662
0.16,-0.290849468,-0.294027454,-0.319556147
0.18,-0.284084603,-0.291242566,-0.31874778
0.2,-0.27894798,-0.286430809,-0.318508582
0.22,-0.273639534,-0.284304053,-0.311155102
0.24,-0.271213824,-0.284783701,-0.306388117
0.26,-0.264472865,-0.283375924,-0.308719797
0.28,-0.262329256,-0.282933226,-0.3064573
0.3,-0.259454883,-0.28063065,-0.30745637
0.32,-0.258098187,-0.285181451,-0.296678393
0.34,-0.258284772,-0.279043332,-0.295045735
0.36,-0.25489709,-0.280689871,-0.293461162
0.38,-0.254935372,-0.282832085,-0.280512027
0.4,-0.252140908,-0.283976667,-0.291115171
0.42,-0.252825802,-0.285896053,-0.285460912
0.44,-0.252790695,-0.282616981,-0.285049673
0.46,-0.251622831,-0.282916003,-0.275398678
0.48,-0.254441763,-0.286066872,-0.276566629
