rd,OSR.2,OSR.1,OSR.5
0,-0.313166667,-0.241833333,-0.164833333
0.02,-0.271437213,-0.186862634,-0.125
0.04,-0.166890909,-0.117179683,-0.086333333
0.06,-0.14315773,-0.106943151,-0.0695
0.08,-0.14225424,-0.096666667,-0.075333333
0.1,-0.126187315,-0.084,-0.065666667
0.12,-0.117365669,-0.09,-0.065
0.14,-0.102413777,-0.076,-0.059333333
0.16,-0.091334855,-0.074666667,-0.054666667
0.18,-0.091771314,-0.06,-0.056666667
0.2,-0.079712517,-0.057333333,-0.047333333
0.22,-0.077496957,-0.064,-0.034666667
0.24,-0.075365282,-0.067333333,-0.055333333
0.26,-0.071157815,-0.051333333,-0.055333333
0.28,-0.06034228,-0.052666667,-0.039666667
0.3,-0.061322355,-0.044333333,-0.053666667
0.32,-0.061186616,-0.049,-0.046333333
0.34,-0.057223457,-0.042,-0.052
0.36,-0.057840145,-0.038333333,-0.035333333
0.38,-0.045010346,-0.031666667,-0.041666667
0.4,-0.043553741,-0.044,-0.039333333
0.42,-0.037021645,-0.042,-0.049333333
0.44,-0.046550782,-0.039,-0.036666667
0.46,-0.039216541,-0.042333333,-0.040666667
0.48,-0.042519807,-0.036666667,-0.031333333
