"","rd","variable","value"
"1",0.02,"100.h0",-0.12473157037037
"2",0.04,"100.h0",-0.140647607407407
"3",0.06,"100.h0",-0.150355474074074
"4",0.08,"100.h0",-0.159044088888889
"5",0.1,"100.h0",-0.166962266666667
"6",0.12,"100.h0",-0.176719918518519
"7",0.14,"100.h0",-0.180955074074074
"8",0.16,"100.h0",-0.183235422222222
"9",0.18,"100.h0",-0.192478562962963
"10",0.2,"100.h0",-0.193694407407407
"11",0.22,"100.h0",-0.202788444444444
"12",0.24,"100.h0",-0.207078755555556
"13",0.26,"100.h0",-0.214812444444444
"14",0.28,"100.h0",-0.215120785185185
"15",0.3,"100.h0",-0.217986659259259
"16",0.32,"100.h0",-0.220618725925926
"17",0.34,"100.h0",-0.22192082962963
"18",0.36,"100.h0",-0.236923511111111
"19",0.38,"100.h0",-0.233234207407407
"20",0.4,"100.h0",-0.230039185185185
"21",0.42,"100.h0",-0.233387125925926
"22",0.44,"100.h0",-0.243969044444444
"23",0.46,"100.h0",-0.241625711111111
"24",0.48,"100.h0",-0.246369385185185
"25",0.02,"100.h0.5",0.274259013333333
"26",0.04,"100.h0.5",0.219986057777778
"27",0.06,"100.h0.5",0.185361794074074
"28",0.08,"100.h0.5",0.155275962962963
"29",0.1,"100.h0.5",0.12954185037037
"30",0.12,"100.h0.5",0.112000964444444
"31",0.14,"100.h0.5",0.0929271244444444
"32",0.16,"100.h0.5",0.0821630251851852
"33",0.18,"100.h0.5",0.0735382607407407
"34",0.2,"100.h0.5",0.06802492
"35",0.22,"100.h0.5",0.0553923392592593
"36",0.24,"100.h0.5",0.0490784503703704
"37",0.26,"100.h0.5",0.041318557037037
"38",0.28,"100.h0.5",0.0446281837037037
"39",0.3,"100.h0.5",0.0378144844444445
"40",0.32,"100.h0.5",0.0332747111111111
"41",0.34,"100.h0.5",0.0325382281481482
"42",0.36,"100.h0.5",0.0247127866666667
"43",0.38,"100.h0.5",0.0182440325925926
"44",0.4,"100.h0.5",0.0130951466666667
"45",0.42,"100.h0.5",0.0154221451851852
"46",0.44,"100.h0.5",0.018096562962963
"47",0.46,"100.h0.5",0.0118694281481482
"48",0.48,"100.h0.5",0.00966828000000002
"49",0.02,"100.h1",0.332681977777778
"50",0.04,"100.h1",0.329941925925926
"51",0.06,"100.h1",0.325459548148148
"52",0.08,"100.h1",0.31985042962963
"53",0.1,"100.h1",0.313238148148148
"54",0.12,"100.h1",0.305533703703704
"55",0.14,"100.h1",0.299701614814815
"56",0.16,"100.h1",0.288982666666667
"57",0.18,"100.h1",0.282354459259259
"58",0.2,"100.h1",0.275662466666667
"59",0.22,"100.h1",0.271918940740741
"60",0.24,"100.h1",0.263562392592593
"61",0.26,"100.h1",0.258392503703704
"62",0.28,"100.h1",0.253414007407407
"63",0.3,"100.h1",0.255742303703704
"64",0.32,"100.h1",0.244481207407407
"65",0.34,"100.h1",0.249442651851852
"66",0.36,"100.h1",0.249341385185185
"67",0.38,"100.h1",0.241608540740741
"68",0.4,"100.h1",0.252135392592593
"69",0.42,"100.h1",0.250572466666667
"70",0.44,"100.h1",0.247644125925926
"71",0.46,"100.h1",0.2645028
"72",0.48,"100.h1",0.262970044444444
