rd,OSR.2,OSR.1,OSR.05
0,0.3333,0.333,0.322
0.02,0.2741,0.27,0.239
0.04,0.2286,0.223,0.154
0.06,0.1906,0.18,0.087
0.08,0.1614,0.147,0.021
0.1,0.1408,0.116,-0.006
0.12,0.1222,0.097,-0.024
0.14,0.1073,0.077,-0.045
0.16,0.0932,0.056,-0.069
0.18,0.0874,0.055,-0.07
0.2,0.0784,0.042,-0.078
0.22,0.0736,0.031,-0.083
0.24,0.0678,0.02,-0.085
0.26,0.0601,0.012,-0.081
0.28,0.0565,0.015,-0.083
0.3,0.052,0.006,-0.071
0.32,0.0471,-0.003,-0.075
0.34,0.0468,-0.002,-0.064
0.36,0.046,-0.002,-0.069
0.38,0.0424,-0.006,-0.067
0.4,0.037,-0.004,-0.059
0.42,0.0395,-0.006,-0.064
0.44,0.0337,-0.011,-0.052
0.46,0.0357,-0.011,-0.053
0.48,0.0297,-0.01,-0.063
