rd,h0,h0.5,h1
0,-0.0911,0.3333,0.3333
0.02,-0.1096,0.2741,0.3325
0.04,-0.1254,0.2286,0.3305
0.06,-0.1365,0.1906,0.3269
0.08,-0.1495,0.1614,0.3222
0.1,-0.1573,0.1408,0.3166
0.12,-0.1652,0.1222,0.3103
0.14,-0.1694,0.1073,0.3025
0.16,-0.1741,0.0932,0.2961
0.18,-0.1778,0.0874,0.2901
0.2,-0.1837,0.0784,0.2855
0.22,-0.1895,0.0736,0.2795
0.24,-0.1946,0.0678,0.2761
0.26,-0.1964,0.0601,0.2712
0.28,-0.1992,0.0565,0.2687
0.3,-0.1988,0.052,0.2636
0.32,-0.2056,0.0471,0.2622
0.34,-0.2048,0.0468,0.2599
0.36,-0.2113,0.046,0.2586
0.38,-0.214,0.0424,0.256
0.4,-0.2152,0.037,0.2553
0.42,-0.22,0.0395,0.2537
0.44,-0.2179,0.0337,0.2534
0.46,-0.2209,0.0357,0.2523
0.48,-0.224,0.0297,0.2501
