rd,h0,h0.5,h1
0,-0.045,0.132,0.184
0.02,-0.223,0.003,0.207
0.04,-0.234,-0.159,0.061
0.06,-0.226,-0.161,0.017
0.08,-0.24,-0.164,0.006
0.1,-0.224,-0.159,0.002
0.12,-0.232,-0.15,0.002
0.14,-0.228,-0.134,0.001
0.16,-0.222,-0.112,0.001
0.18,-0.227,-0.103,0.002
0.2,-0.226,-0.09,0.005
0.22,-0.221,-0.068,0.009
0.24,-0.215,-0.073,0.016
0.26,-0.219,-0.062,0.027
0.28,-0.221,-0.053,0.043
0.3,-0.218,-0.055,0.068
0.32,-0.221,-0.054,0.085
0.34,-0.21,-0.056,0.091
0.36,-0.223,-0.051,0.105
0.38,-0.216,-0.045,0.104
0.4,-0.211,-0.045,0.114
0.42,-0.219,-0.033,0.124
0.44,-0.216,-0.044,0.122
0.46,-0.217,-0.041,0.128
0.48,-0.214,-0.046,0.131
