rd,OSR.2,OSR.1,OSR.05
0,-0.099,-0.07,-0.045
0.02,-0.267,-0.248,-0.223
0.04,-0.275,-0.254,-0.234
0.06,-0.284,-0.255,-0.226
0.08,-0.282,-0.249,-0.24
0.1,-0.286,-0.242,-0.224
0.12,-0.276,-0.249,-0.232
0.14,-0.271,-0.25,-0.228
0.16,-0.275,-0.242,-0.222
0.18,-0.27,-0.234,-0.227
0.2,-0.271,-0.245,-0.226
0.22,-0.257,-0.235,-0.221
0.24,-0.256,-0.24,-0.215
0.26,-0.263,-0.236,-0.219
0.28,-0.26,-0.232,-0.221
0.3,-0.264,-0.233,-0.218
0.32,-0.255,-0.232,-0.221
0.34,-0.257,-0.223,-0.21
0.36,-0.255,-0.224,-0.223
0.38,-0.259,-0.226,-0.216
0.4,-0.247,-0.229,-0.211
0.42,-0.254,-0.219,-0.219
0.44,-0.25,-0.227,-0.216
0.46,-0.249,-0.221,-0.217
0.48,-0.253,-0.216,-0.214
