"","50","100","500","1000"
"OSR.1",-0.168870366666667,-0.117342116666667,-0.00341366299999998,-0.00199161908333331
"OSR0.8",-0.104381316872428,-0.0723313580246914,-0.00428437551440328,-0.0024892183641975
"OSR0.6",-0.0863180150703946,-0.0548572265625,-0.00199527942708332,-0.00223925664062498
"OSR0.4",-0.0456772108843537,-0.0375342431972789,-0.000635337074829919,-0.00206346751700678
"OSR0.2",0.038,0.000233449074074075,0.00963055694444447,0.0012093146990741
"OSR0.1",0.048,0.0353333333333333,0.0313955253121282,0.00467575000000002
"OSR0.05",0.044,0.0866666666666667,0.0591552939805373,0.044251891401045
