"","50","100","500","1000"
"OSR.1",0.00604547333333333,0.0391365208333333,0.0129851569333333,0.0159479502166666
"OSR0.8",0.0254521069958848,0.0185453472222222,0.0186550492386831,0.0159957903652263
"OSR0.6",0.0344045682133651,0.0234754713541667,0.0170310620052083,0.0185954016992187
"OSR0.4",0.0503748401360544,0.0450260195578231,0.0178190646598639,0.0164476685629251
"OSR0.2",0.0666666666666667,0.0616648368055556,0.0327518294907407,0.0207810914699074
"OSR0.1",0.058,0.0673333333333333,0.0729282127999183,0.0320976095454545
"OSR0.05",0.0693333333333333,0.0913333333333333,0.106904659669211,0.0845707316310724
