"","50","100","500","1000"
"OSR.1",0.143193233333333,0.123163116666667,0.00264283966666669,0.00329618583333336
"OSR0.8",0.132415720164609,0.107924830246914,0.00601946584362142,0.0027106149176955
"OSR0.6",0.133279421971049,0.143884908854167,0.00285448333333335,0.00541939576822918
"OSR0.4",0.119049693877551,0.187002619047619,0.0104221721088436,0.00719224311224492
"OSR0.2",0.0926666666666667,0.153314444444444,0.0416230185185185,0.0121663320601852
"OSR0.1",0.0893333333333333,0.0986666666666667,0.187365337569041,0.0439783778236915
"OSR0.05",0.074,0.0993333333333333,0.205193899563934,0.184926068131713
