"","1000","500","100","50"
"OSR1",-0.0908728390370371,-0.0909526748148149,-0.0807300500000001,-0.00778271851851855
"OSR.8",-0.0889268740646259,-0.0867765594387756,-0.0836142920918368,-0.00307863945578234
"OSR.6",-0.0854174374260356,-0.0841086058185405,-0.0767473643984221,0.00702224852071005
"OSR.4",-0.0817917526331019,-0.0800390215277778,-0.0693350144675926,0.0156693518518518
"OSR.2",-0.0798286376377411,-0.0783621168044078,-0.0577926101928375,-0.0186662672176309
"OSR.1",-0.0742044069916856,-0.0744211611489041,-0.0741365495086924,-0.0416666666666667
"OSR.05",-0.0786150422367639,-0.0812015051358319,-0.0784202895102122,-0.0586666666666667
