"","1000","500","100","50"
"OSR1",-0.158589822018518,-0.156118967703704,-0.156318637037037,-0.149589407407407
"OSR.8",-0.156042036094675,-0.154465313116371,-0.151286686390532,-0.144390759368836
"OSR.6",-0.151788635089532,-0.151581812947658,-0.154414331955923,-0.149332451790634
"OSR.4",-0.148457734979424,-0.148203046090535,-0.162746903292181,-0.142696810699588
"OSR.2",-0.139941175170068,-0.134831271088435,-0.157210884353742,-0.0773333333333333
"OSR.1",-0.133188763888889,-0.139753977777778,-0.0966666666666667,-0.044
"OSR.05",-0.136474337603306,-0.210779366391185,-0.0406666666666667,-0.026
