"","50","100","500","1000"
"OSR.1",-0.00604547333333333,-0.0391365208333333,-0.0129851569333333,-0.0159479502166666
"OSR0.8",0.016000975308642,0.00884220473251029,-0.0165308100205761,-0.0161072650360082
"OSR0.6",0.0411409528058695,0.012327380859375,-0.0158119695833333,-0.0181420131835937
"OSR0.4",0.0376908401360544,0.0439171794217687,-0.0167222107823129,-0.0156251651785714
"OSR0.2",0.07,0.0648537789351852,-0.000382195138888879,-0.0124938141666667
"OSR0.1",0.048,0.0673333333333333,0.0596249639809438,-0.0025676403305785
"OSR0.05",0.0506666666666667,0.0673333333333333,0.119836698461143,0.0568141064313706
