"","50","100","500","1000"
"OSR.1",0.168870366666667,0.117342116666667,0.00341366299999998,0.00199161908333331
"OSR0.8",0.12603366255144,0.11172387345679,0.00733933786008229,0.00478945200617282
"OSR0.6",0.141311322625421,0.14686767578125,0.00526691328124998,0.00361224192708331
"OSR0.4",0.12366,0.177003545918367,0.00815212891156461,0.00410400170068025
"OSR0.2",0.11,0.160782939814815,0.0451291402777778,0.00890311331018516
"OSR0.1",0.078,0.120666666666667,0.195499217459641,0.039218114876033
"OSR0.05",0.0846666666666667,0.102,0.231858707000369,0.181856378865354
