rd,h0,h0.5,h1
0,-0.07,0.21,0.254
0.02,-0.248,0.096,0.26
0.04,-0.254,-0.118,0.173
0.06,-0.255,-0.145,0.108
0.08,-0.249,-0.152,0.071
0.1,-0.242,-0.152,0.04
0.12,-0.249,-0.141,0.024
0.14,-0.25,-0.139,0.014
0.16,-0.242,-0.118,0.016
0.18,-0.234,-0.103,0.011
0.2,-0.245,-0.1,0.011
0.22,-0.235,-0.082,0.015
0.24,-0.24,-0.067,0.023
0.26,-0.236,-0.066,0.034
0.28,-0.232,-0.057,0.047
0.3,-0.233,-0.058,0.061
0.32,-0.232,-0.061,0.082
0.34,-0.223,-0.045,0.093
0.36,-0.224,-0.047,0.101
0.38,-0.226,-0.047,0.115
0.4,-0.229,-0.044,0.12
0.42,-0.219,-0.04,0.133
0.44,-0.227,-0.028,0.144
0.46,-0.221,-0.044,0.135
0.48,-0.216,-0.044,0.13
