rd,OSR.2,OSR.1,OSR.05
0,-0.0911,-0.097,-0.139
0.02,-0.1096,-0.124,-0.243
0.04,-0.1254,-0.143,-0.266
0.06,-0.1365,-0.163,-0.282
0.08,-0.1495,-0.169,-0.279
0.1,-0.1573,-0.183,-0.284
0.12,-0.1652,-0.2,-0.29
0.14,-0.1694,-0.207,-0.289
0.16,-0.1741,-0.212,-0.292
0.18,-0.1778,-0.228,-0.293
0.2,-0.1837,-0.228,-0.288
0.22,-0.1895,-0.237,-0.287
0.24,-0.1946,-0.241,-0.291
0.26,-0.1964,-0.243,-0.294
0.28,-0.1992,-0.243,-0.285
0.3,-0.1988,-0.251,-0.285
0.32,-0.2056,-0.256,-0.282
0.34,-0.2048,-0.262,-0.277
0.36,-0.2113,-0.26,-0.286
0.38,-0.214,-0.264,-0.283
0.4,-0.2152,-0.267,-0.285
0.42,-0.22,-0.264,-0.275
0.44,-0.2179,-0.271,-0.28
0.46,-0.2209,-0.267,-0.28
0.48,-0.224,-0.272,-0.28
