rd,OSR.2,OSR.1,OSR.5
0,0.109760896,0.104656016,0.074898232
0.02,0.128492126,0.125360206,0.089521328
0.04,0.143882764,0.136202788,0.094539424
0.06,0.154468749,0.14468908,0.091798753
0.08,0.162493679,0.150513111,0.095178553
0.1,0.171612873,0.159026847,0.098187738
0.12,0.176380651,0.161944689,0.100438345
0.14,0.18155559,0.168314415,0.097565322
0.16,0.188587627,0.169863614,0.096124509
0.18,0.189781871,0.171463915,0.104308672
0.2,0.194982875,0.174326686,0.107468199
0.22,0.197077747,0.170265559,0.111041509
0.24,0.201923734,0.17620691,0.113570127
0.26,0.202388842,0.172891282,0.112476778
0.28,0.206492716,0.17557898,0.114795746
0.3,0.208847689,0.18082712,0.123580311
0.32,0.209243184,0.18157315,0.127311126
0.34,0.212435095,0.179691429,0.130722174
0.36,0.212828424,0.183281883,0.130202764
0.38,0.214172745,0.184287075,0.129582202
0.4,0.216167744,0.178960529,0.134773115
0.42,0.217055473,0.183697582,0.142209675
0.44,0.21743255,0.185243385,0.144785618
0.46,0.219190845,0.19444552,0.140390357
0.48,0.219332538,0.198309889,0.142792313
