rd,h0,h0.5,h1
0,-0.099,0.308,0.311
0.02,-0.267,0.235,0.32
0.04,-0.275,0.093,0.312
0.06,-0.284,0.025,0.286
0.08,-0.282,-0.025,0.262
0.1,-0.286,-0.052,0.231
0.12,-0.276,-0.079,0.2
0.14,-0.271,-0.088,0.16
0.16,-0.275,-0.089,0.148
0.18,-0.27,-0.081,0.126
0.2,-0.271,-0.079,0.102
0.22,-0.257,-0.069,0.105
0.24,-0.256,-0.074,0.095
0.26,-0.263,-0.075,0.094
0.28,-0.26,-0.068,0.106
0.3,-0.264,-0.059,0.104
0.32,-0.255,-0.046,0.108
0.34,-0.257,-0.047,0.114
0.36,-0.255,-0.052,0.127
0.38,-0.259,-0.037,0.142
0.4,-0.247,-0.042,0.146
0.42,-0.254,-0.042,0.152
0.44,-0.25,-0.043,0.164
0.46,-0.249,-0.04,0.164
0.48,-0.253,-0.023,0.161
