rd,OSR.2,OSR.1,OSR.05
0,0.311,0.254,0.184
0.02,0.32,0.26,0.207
0.04,0.312,0.173,0.061
0.06,0.286,0.108,0.017
0.08,0.262,0.071,0.006
0.1,0.231,0.04,0.002
0.12,0.2,0.024,0.002
0.14,0.16,0.014,0.001
0.16,0.148,0.016,0.001
0.18,0.126,0.011,0.002
0.2,0.102,0.011,0.005
0.22,0.105,0.015,0.009
0.24,0.095,0.023,0.016
0.26,0.094,0.034,0.027
0.28,0.106,0.047,0.043
0.3,0.104,0.061,0.068
0.32,0.108,0.082,0.085
0.34,0.114,0.093,0.091
0.36,0.127,0.101,0.105
0.38,0.142,0.115,0.104
0.4,0.146,0.12,0.114
0.42,0.152,0.133,0.124
0.44,0.164,0.144,0.122
0.46,0.164,0.135,0.128
0.48,0.161,0.13,0.131
