rd,h0,h0.5,h1
0,-0.097,0.333,0.332
0.02,-0.124,0.27,0.33
0.04,-0.143,0.223,0.329
0.06,-0.163,0.18,0.324
0.08,-0.169,0.147,0.321
0.1,-0.183,0.116,0.314
0.12,-0.2,0.097,0.307
0.14,-0.207,0.077,0.292
0.16,-0.212,0.056,0.282
0.18,-0.228,0.055,0.28
0.2,-0.228,0.042,0.268
0.22,-0.237,0.031,0.261
0.24,-0.241,0.02,0.249
0.26,-0.243,0.012,0.243
0.28,-0.243,0.015,0.23
0.3,-0.251,0.006,0.229
0.32,-0.256,-0.003,0.225
0.34,-0.262,-0.002,0.22
0.36,-0.26,-0.002,0.221
0.38,-0.264,-0.006,0.219
0.4,-0.267,-0.004,0.214
0.42,-0.264,-0.006,0.2171
0.44,-0.271,-0.011,0.207
0.46,-0.267,-0.011,0.216
0.48,-0.272,-0.01,0.212
