"","50","100","500","1000"
"OSR.1",-0.143193233333333,-0.123163116666667,-0.00264283966666669,-0.00329618583333336
"OSR0.8",-0.100130781893004,-0.070022366255144,-0.00518674794238684,-0.00433649537037039
"OSR0.6",-0.0786519680745588,-0.066486171875,-0.00584606666666668,-0.00190327239583336
"OSR0.4",-0.0282936394557823,-0.0610008843537415,-0.00173777653061227,-0.00248991989795921
"OSR0.2",0.0266666666666667,-0.00513679398148148,-0.000955051388888905,-0.00146260486111113
"OSR0.1",0.048,0.0306666666666667,0.0480115510726908,0.00501366074380163
"OSR0.05",0.0513333333333333,0.0513333333333333,0.0600606966134452,0.0498805751109589
