"","50","100","500","1000"
"OSR.1",-0.15732110854961,-0.159764702769788,-0.164503172917637,-0.163192833278556
"OSR0.8",-0.153016559833189,-0.158340429623608,-0.163701382196313,-0.163486528589369
"OSR0.6",-0.148131850323837,-0.15782613265834,-0.162851762087026,-0.163269497469442
"OSR0.4",-0.0842124673935795,-0.15148310228824,-0.164042472390656,-0.163220317973938
"OSR0.2",0.137589005300069,-0.124072395965332,-0.161872098214093,-0.163084065696368
"OSR0.1",0.139333333333333,0.186397070108141,-0.1579388256098,-0.163605583456047
"OSR0.05",0.129333333333333,0.142,-0.144638300298453,-0.157610487724893
