,rd,variable,value
169,0.36,OSR.2.h1,-0.25489709
170,0.38,OSR.2.h1,-0.254935372
171,0.4,OSR.2.h1,-0.252140908
172,0.42,OSR.2.h1,-0.252825802
173,0.44,OSR.2.h1,-0.252790695
174,0.46,OSR.2.h1,-0.251622831
175,0.48,OSR.2.h1,-0.254441763
176,0,OSR.1.h1,-0.332666667
177,0.02,OSR.1.h1,-0.332279122
178,0.04,OSR.1.h1,-0.329461767
179,0.06,OSR.1.h1,-0.324365703
180,0.08,OSR.1.h1,-0.318812748
181,0.1,OSR.1.h1,-0.312535013
182,0.12,OSR.1.h1,-0.305733666
183,0.14,OSR.1.h1,-0.299611443
184,0.16,OSR.1.h1,-0.294027454
185,0.18,OSR.1.h1,-0.291242566
186,0.2,OSR.1.h1,-0.286430809
187,0.22,OSR.1.h1,-0.284304053
188,0.24,OSR.1.h1,-0.284783701
189,0.26,OSR.1.h1,-0.283375924
190,0.28,OSR.1.h1,-0.282933226
191,0.3,OSR.1.h1,-0.28063065
192,0.32,OSR.1.h1,-0.285181451
193,0.34,OSR.1.h1,-0.279043332
194,0.36,OSR.1.h1,-0.280689871
195,0.38,OSR.1.h1,-0.282832085
196,0.4,OSR.1.h1,-0.283976667
197,0.42,OSR.1.h1,-0.285896053
198,0.44,OSR.1.h1,-0.282616981
199,0.46,OSR.1.h1,-0.282916003
200,0.48,OSR.1.h1,-0.286066872
201,0,OSR.05.h1,-0.314666667
202,0.02,OSR.05.h1,-0.33049956
203,0.04,OSR.05.h1,-0.328309228
204,0.06,OSR.05.h1,-0.326119285
205,0.08,OSR.05.h1,-0.323211705
206,0.1,OSR.05.h1,-0.321861857
207,0.12,OSR.05.h1,-0.323109038
208,0.14,OSR.05.h1,-0.320117662
209,0.16,OSR.05.h1,-0.319556147
210,0.18,OSR.05.h1,-0.31874778
211,0.2,OSR.05.h1,-0.318508582
212,0.22,OSR.05.h1,-0.311155102
213,0.24,OSR.05.h1,-0.306388117
214,0.26,OSR.05.h1,-0.308719797
215,0.28,OSR.05.h1,-0.3064573
216,0.3,OSR.05.h1,-0.30745637
217,0.32,OSR.05.h1,-0.296678393
218,0.34,OSR.05.h1,-0.295045735
219,0.36,OSR.05.h1,-0.293461162
220,0.38,OSR.05.h1,-0.280512027
221,0.4,OSR.05.h1,-0.291115171
222,0.42,OSR.05.h1,-0.285460912
223,0.44,OSR.05.h1,-0.285049673
224,0.46,OSR.05.h1,-0.275398678
225,0.48,OSR.05.h1,-0.276566629
