,rd,variable,value
1,0,OSR.2.h0,0.109760896
2,0.02,OSR.2.h0,0.128492126
3,0.04,OSR.2.h0,0.143882764
4,0.06,OSR.2.h0,0.154468749
5,0.08,OSR.2.h0,0.162493679
6,0.1,OSR.2.h0,0.171612873
7,0.12,OSR.2.h0,0.176380651
8,0.14,OSR.2.h0,0.18155559
9,0.16,OSR.2.h0,0.188587627
10,0.18,OSR.2.h0,0.189781871
11,0.2,OSR.2.h0,0.194982875
12,0.22,OSR.2.h0,0.197077747
13,0.24,OSR.2.h0,0.201923734
14,0.26,OSR.2.h0,0.202388842
15,0.28,OSR.2.h0,0.206492716
16,0.3,OSR.2.h0,0.208847689
17,0.32,OSR.2.h0,0.209243184
18,0.34,OSR.2.h0,0.212435095
19,0.36,OSR.2.h0,0.212828424
20,0.38,OSR.2.h0,0.214172745
21,0.4,OSR.2.h0,0.216167744
22,0.42,OSR.2.h0,0.217055473
23,0.44,OSR.2.h0,0.21743255
24,0.46,OSR.2.h0,0.219190845
25,0.48,OSR.2.h0,0.219332538
26,0,OSR.1.h0,0.104656016
27,0.02,OSR.1.h0,0.125360206
28,0.04,OSR.1.h0,0.136202788
29,0.06,OSR.1.h0,0.14468908
30,0.08,OSR.1.h0,0.150513111
31,0.1,OSR.1.h0,0.159026847
32,0.12,OSR.1.h0,0.161944689
33,0.14,OSR.1.h0,0.168314415
34,0.16,OSR.1.h0,0.169863614
35,0.18,OSR.1.h0,0.171463915
36,0.2,OSR.1.h0,0.174326686
37,0.22,OSR.1.h0,0.170265559
38,0.24,OSR.1.h0,0.17620691
39,0.26,OSR.1.h0,0.172891282
40,0.28,OSR.1.h0,0.17557898
41,0.3,OSR.1.h0,0.18082712
42,0.32,OSR.1.h0,0.18157315
43,0.34,OSR.1.h0,0.179691429
44,0.36,OSR.1.h0,0.183281883
45,0.38,OSR.1.h0,0.184287075
46,0.4,OSR.1.h0,0.178960529
47,0.42,OSR.1.h0,0.183697582
48,0.44,OSR.1.h0,0.185243385
49,0.46,OSR.1.h0,0.19444552
50,0.48,OSR.1.h0,0.198309889
51,0,OSR.05.h0,0.074898232
52,0.02,OSR.05.h0,0.089521328
53,0.04,OSR.05.h0,0.094539424
54,0.06,OSR.05.h0,0.091798753
55,0.08,OSR.05.h0,0.095178553
56,0.1,OSR.05.h0,0.098187738
57,0.12,OSR.05.h0,0.100438345
58,0.14,OSR.05.h0,0.097565322
59,0.16,OSR.05.h0,0.096124509
60,0.18,OSR.05.h0,0.104308672
61,0.2,OSR.05.h0,0.107468199
62,0.22,OSR.05.h0,0.111041509
63,0.24,OSR.05.h0,0.113570127
64,0.26,OSR.05.h0,0.112476778
65,0.28,OSR.05.h0,0.114795746
66,0.3,OSR.05.h0,0.123580311
67,0.32,OSR.05.h0,0.127311126
68,0.34,OSR.05.h0,0.130722174
69,0.36,OSR.05.h0,0.130202764
70,0.38,OSR.05.h0,0.129582202
71,0.4,OSR.05.h0,0.134773115
72,0.42,OSR.05.h0,0.142209675
73,0.44,OSR.05.h0,0.144785618
74,0.46,OSR.05.h0,0.140390357
75,0.48,OSR.05.h0,0.142792313
76,0,OSR.2.h05,-0.333333333
77,0.02,OSR.2.h05,-0.269983996
78,0.04,OSR.2.h05,-0.220967434
79,0.06,OSR.2.h05,-0.183591184
80,0.08,OSR.2.h05,-0.154100127
81,0.1,OSR.2.h05,-0.130805681
82,0.12,OSR.2.h05,-0.11354618
83,0.14,OSR.2.h05,-0.101679188
84,0.16,OSR.2.h05,-0.087940694
85,0.18,OSR.2.h05,-0.081302527
86,0.2,OSR.2.h05,-0.075157802
87,0.22,OSR.2.h05,-0.066799511
88,0.24,OSR.2.h05,-0.06141293
89,0.26,OSR.2.h05,-0.056136229
90,0.28,OSR.2.h05,-0.052585881
91,0.3,OSR.2.h05,-0.05148599
92,0.32,OSR.2.h05,-0.04733325
93,0.34,OSR.2.h05,-0.043783684
94,0.36,OSR.2.h05,-0.041765113
95,0.38,OSR.2.h05,-0.040476059
96,0.4,OSR.2.h05,-0.038042019
97,0.42,OSR.2.h05,-0.037138455
98,0.44,OSR.2.h05,-0.034824391
99,0.46,OSR.2.h05,-0.031755836
100,0.48,OSR.2.h05,-0.033090498
101,0,OSR.1.h05,-0.332333333
102,0.02,OSR.1.h05,-0.266791311
103,0.04,OSR.1.h05,-0.216294006
104,0.06,OSR.1.h05,-0.177700425
105,0.08,OSR.1.h05,-0.151361824
106,0.1,OSR.1.h05,-0.133420756
107,0.12,OSR.1.h05,-0.118414678
108,0.14,OSR.1.h05,-0.10814573
109,0.16,OSR.1.h05,-0.103098913
110,0.18,OSR.1.h05,-0.093819455
111,0.2,OSR.1.h05,-0.090088378
112,0.22,OSR.1.h05,-0.083853923
113,0.24,OSR.1.h05,-0.080527497
114,0.26,OSR.1.h05,-0.072734028
115,0.28,OSR.1.h05,-0.077015841
116,0.3,OSR.1.h05,-0.067052014
117,0.32,OSR.1.h05,-0.070513336
118,0.34,OSR.1.h05,-0.063479803
119,0.36,OSR.1.h05,-0.063394171
120,0.38,OSR.1.h05,-0.062681829
121,0.4,OSR.1.h05,-0.053580979
122,0.42,OSR.1.h05,-0.056595363
123,0.44,OSR.1.h05,-0.06086059
124,0.46,OSR.1.h05,-0.051669682
125,0.48,OSR.1.h05,-0.053139157
126,0,OSR.05.h05,-0.319333333
127,0.02,OSR.05.h05,-0.230150929
128,0.04,OSR.05.h05,-0.183869878
129,0.06,OSR.05.h05,-0.165973135
130,0.08,OSR.05.h05,-0.154563499
131,0.1,OSR.05.h05,-0.144804806
132,0.12,OSR.05.h05,-0.140193578
133,0.14,OSR.05.h05,-0.13273157
134,0.16,OSR.05.h05,-0.127607842
135,0.18,OSR.05.h05,-0.114919855
136,0.2,OSR.05.h05,-0.116517299
137,0.22,OSR.05.h05,-0.112437463
138,0.24,OSR.05.h05,-0.10756875
139,0.26,OSR.05.h05,-0.099376877
140,0.28,OSR.05.h05,-0.096391197
141,0.3,OSR.05.h05,-0.087148046
142,0.32,OSR.05.h05,-0.079456806
143,0.34,OSR.05.h05,-0.077430068
144,0.36,OSR.05.h05,-0.082385496
145,0.38,OSR.05.h05,-0.07612791
146,0.4,OSR.05.h05,-0.073193398
147,0.42,OSR.05.h05,-0.062357916
148,0.44,OSR.05.h05,-0.066022509
149,0.46,OSR.05.h05,-0.066634572
150,0.48,OSR.05.h05,-0.053701202
151,0,OSR.2.h1,-0.333333333
152,0.02,OSR.2.h1,-0.332381735
153,0.04,OSR.2.h1,-0.329664726
154,0.06,OSR.2.h1,-0.325339584
155,0.08,OSR.2.h1,-0.319827212
156,0.1,OSR.2.h1,-0.313098865
157,0.12,OSR.2.h1,-0.305253921
158,0.14,OSR.2.h1,-0.298240322
159,0.16,OSR.2.h1,-0.290849468
160,0.18,OSR.2.h1,-0.284084603
161,0.2,OSR.2.h1,-0.27894798
162,0.22,OSR.2.h1,-0.273639534
163,0.24,OSR.2.h1,-0.271213824
164,0.26,OSR.2.h1,-0.264472865
165,0.28,OSR.2.h1,-0.262329256
166,0.3,OSR.2.h1,-0.259454883
167,0.32,OSR.2.h1,-0.258098187
168,0.34,OSR.2.h1,-0.258284772
