"","freq","commsex","osr","Ne","log.Ne"
"X1","0.499265","1000","1","2000","3.30102999566398"
"X0.8","0.499513611111111","1000","0.8","1778","3.24993175663419"
"X0.6","0.5026240625","1000","0.6","1500","3.17609125905568"
"X0.4","0.499023214285714","1000","0.4","1143","3.05804623039528"
"X0.2","0.494726666666667","1000","0.2","667","2.82412583391655"
"X0.1","0.481265454545455","1000","0.1","364","2.56110138364906"
"X0.05","0.400672232824427","1000","0.05","190","2.27875360095283"
"X1.1","0.495118","500","1","1000","3"
"X0.8.1","0.500529444444444","500","0.8","889","2.94890176097021"
"X0.6.1","0.49962","500","0.6","750","2.8750612633917"
"X0.4.1","0.501262142857143","500","0.4","571","2.75663610824585"
"X0.2.1","0.4786375","500","0.2","333","2.52244423350632"
"X0.1.1","0.397544708029197","500","0.1","182","2.26007138798507"
"X0.05.1","0.317789122137405","500","0.05","95","1.97772360528885"
"X1.2","0.548065","100","1","200","2.30102999566398"
"X0.8.2","0.473238888888889","100","0.8","178","2.25042000230889"
"X0.6.2","0.471334375","100","0.6","150","2.17609125905568"
"X0.4.2","0.429167857142857","100","0.4","114","2.05690485133647"
"X0.2.2","0.4023375","100","0.2","67","1.82607480270083"
"X0.1.2","0.399","100","0.1","36","1.55630250076729"
"X0.05.2","0.399","100","0.05","19","1.27875360095283"
"X1.3","0.50868","50","1","100","2"
"X0.8.3","0.474422222222222","50","0.8","89","1.94939000664491"
"X0.6.3","0.43730487804878","50","0.6","75","1.8750612633917"
"X0.4.3","0.443335714285714","50","0.4","57","1.75587485567249"
"X0.2.3","0.395","50","0.2","33","1.51851393987789"
"X0.1.3","0.428","50","0.1","18","1.25527250510331"
"X0.05.3","0.424","50","0.05","10","1"
