"","N","common.sex","1","0.8","0.6","0.4","0.2","0.1","0.05"
"5",1000,"female",2000,1778,1500,1143,667,364,190
"6",500,"female",1000,889,750,571,333,182,95
"7",100,"female",200,178,150,114,67,36,19
"8",50,"female",100,89,75,57,33,18,10
