"","500","rd"
"0.02","0.272625027733333","0.02"
"0.04","0.223544097540741","0.04"
"0.06","0.188826904948148","0.06"
"0.08","0.158768511111111","0.08"
"0.1","0.137772588148148","0.1"
"0.12","0.119579783940741","0.12"
"0.14","0.104550415051852","0.14"
"0.16","0.0959906833777778","0.16"
"0.18","0.085357349037037","0.18"
"0.2","0.0767935961481481","0.2"
"0.22","0.0712934295703704","0.22"
"0.24","0.0670066453925926","0.24"
"0.26","0.0593350202666666","0.26"
"0.28","0.0565825817481481","0.28"
"0.3","0.0515160382222222","0.3"
"0.32","0.0503091560888889","0.32"
"0.34","0.046588272","0.34"
"0.36","0.0435517632","0.36"
"0.38","0.0421217204740741","0.38"
"0.4","0.0419460386962963","0.4"
"0.42","0.0395843309629629","0.42"
"0.44","0.035527834962963","0.44"
"0.46","0.0329040164148148","0.46"
"0.48","0.0338497202962963","0.48"
