"","500","rd"
"0.02","0.332513125037037","0.02"
"0.04","0.330110381925926","0.04"
"0.06","0.326507462222222","0.06"
"0.08","0.321076920888889","0.08"
"0.1","0.315040930962963","0.1"
"0.12","0.307965296","0.12"
"0.14","0.301553250666667","0.14"
"0.16","0.294881682074074","0.16"
"0.18","0.287674368888889","0.18"
"0.2","0.283219","0.2"
"0.22","0.278385484740741","0.22"
"0.24","0.272715301925926","0.24"
"0.26","0.269885560888889","0.26"
"0.28","0.264607361777778","0.28"
"0.3","0.263292710222222","0.3"
"0.32","0.260561139851852","0.32"
"0.34","0.259486763851852","0.34"
"0.36","0.258007706962963","0.36"
"0.38","0.254874812740741","0.38"
"0.4","0.25316497362963","0.4"
"0.42","0.253109457481482","0.42"
"0.44","0.252277060740741","0.44"
"0.46","0.250383963851852","0.46"
"0.48","0.251045584296296","0.48"
