,50,100,500,1000
OSR1,-0.306331704,-0.312820496,-0.314993169,-0.315096159
OSR0.8,-0.304874141,-0.311987347,-0.314717438,-0.315025547
OSR0.6,-0.300378279,-0.310304561,-0.314168179,-0.314583363
OSR0.4,-0.302913611,-0.311533657,-0.313839752,-0.314137244
OSR0.2,-0.274,-0.31548677,-0.312898428,-0.313372433
OSR0.1,-0.239333333,-0.287666667,-0.312566793,-0.312501728
OSR.05,-0.256333333,-0.246,-0.321634644,-0.311860069
