,50,100,500,1000
OSR1,0.306331704,0.312820496,0.314993169,0.315096159
OSR0.8,0.299496268,0.312364321,0.315338915,0.315608786
OSR0.6,0.282952241,0.311435558,0.315747072,0.316038608
OSR0.4,0.212912173,0.305009529,0.316316271,0.316670864
OSR0.2,0.039663376,0.232479299,0.3165213,0.317445348
OSR0.1,0.005793436,0.040607984,0.313094338,0.317251931
OSR.05,0.00458518,0.001910661,0.27502604,0.312766408
