rd,OSR.2,OSR.1,OSR.05
0,0.308,0.21,0.132
0.02,0.235,0.096,0.003
0.04,0.093,-0.118,-0.159
0.06,0.025,-0.145,-0.161
0.08,-0.025,-0.152,-0.164
0.1,-0.052,-0.152,-0.159
0.12,-0.079,-0.141,-0.15
0.14,-0.088,-0.139,-0.134
0.16,-0.089,-0.118,-0.112
0.18,-0.081,-0.103,-0.103
0.2,-0.079,-0.1,-0.09
0.22,-0.069,-0.082,-0.068
0.24,-0.074,-0.067,-0.073
0.26,-0.075,-0.066,-0.062
0.28,-0.068,-0.057,-0.053
0.3,-0.059,-0.058,-0.055
0.32,-0.046,-0.061,-0.054
0.34,-0.047,-0.045,-0.056
0.36,-0.052,-0.047,-0.051
0.38,-0.037,-0.047,-0.045
0.4,-0.042,-0.044,-0.045
0.42,-0.042,-0.04,-0.033
0.44,-0.043,-0.028,-0.044
0.46,-0.04,-0.044,-0.041
0.48,-0.023,-0.044,-0.046
