,rd,variable,value
1,0,OSR.2.h0,-0.0911
2,0.02,OSR.2.h0,-0.1096
3,0.04,OSR.2.h0,-0.1254
4,0.06,OSR.2.h0,-0.1365
5,0.08,OSR.2.h0,-0.1495
6,0.1,OSR.2.h0,-0.1573
7,0.12,OSR.2.h0,-0.1652
8,0.14,OSR.2.h0,-0.1694
9,0.16,OSR.2.h0,-0.1741
10,0.18,OSR.2.h0,-0.1778
11,0.2,OSR.2.h0,-0.1837
12,0.22,OSR.2.h0,-0.1895
13,0.24,OSR.2.h0,-0.1946
14,0.26,OSR.2.h0,-0.1964
15,0.28,OSR.2.h0,-0.1992
16,0.3,OSR.2.h0,-0.1988
17,0.32,OSR.2.h0,-0.2056
18,0.34,OSR.2.h0,-0.2048
19,0.36,OSR.2.h0,-0.2113
20,0.38,OSR.2.h0,-0.214
21,0.4,OSR.2.h0,-0.2152
22,0.42,OSR.2.h0,-0.22
23,0.44,OSR.2.h0,-0.2179
24,0.46,OSR.2.h0,-0.2209
25,0.48,OSR.2.h0,-0.224
26,0,OSR.1.h0,-0.097
27,0.02,OSR.1.h0,-0.124
28,0.04,OSR.1.h0,-0.143
29,0.06,OSR.1.h0,-0.163
30,0.08,OSR.1.h0,-0.169
31,0.1,OSR.1.h0,-0.183
32,0.12,OSR.1.h0,-0.2
33,0.14,OSR.1.h0,-0.207
34,0.16,OSR.1.h0,-0.212
35,0.18,OSR.1.h0,-0.228
36,0.2,OSR.1.h0,-0.228
37,0.22,OSR.1.h0,-0.237
38,0.24,OSR.1.h0,-0.241
39,0.26,OSR.1.h0,-0.243
40,0.28,OSR.1.h0,-0.243
41,0.3,OSR.1.h0,-0.251
42,0.32,OSR.1.h0,-0.256
43,0.34,OSR.1.h0,-0.262
44,0.36,OSR.1.h0,-0.26
45,0.38,OSR.1.h0,-0.264
46,0.4,OSR.1.h0,-0.267
47,0.42,OSR.1.h0,-0.264
48,0.44,OSR.1.h0,-0.271
49,0.46,OSR.1.h0,-0.267
50,0.48,OSR.1.h0,-0.272
51,0,OSR.05.h0,-0.139
52,0.02,OSR.05.h0,-0.243
53,0.04,OSR.05.h0,-0.266
54,0.06,OSR.05.h0,-0.282
55,0.08,OSR.05.h0,-0.279
56,0.1,OSR.05.h0,-0.284
57,0.12,OSR.05.h0,-0.29
58,0.14,OSR.05.h0,-0.289
59,0.16,OSR.05.h0,-0.292
60,0.18,OSR.05.h0,-0.293
61,0.2,OSR.05.h0,-0.288
62,0.22,OSR.05.h0,-0.287
63,0.24,OSR.05.h0,-0.291
64,0.26,OSR.05.h0,-0.294
65,0.28,OSR.05.h0,-0.285
66,0.3,OSR.05.h0,-0.285
67,0.32,OSR.05.h0,-0.282
68,0.34,OSR.05.h0,-0.277
69,0.36,OSR.05.h0,-0.286
70,0.38,OSR.05.h0,-0.283
71,0.4,OSR.05.h0,-0.285
72,0.42,OSR.05.h0,-0.275
73,0.44,OSR.05.h0,-0.28
74,0.46,OSR.05.h0,-0.28
75,0.48,OSR.05.h0,-0.28
76,0,OSR.2.h.05,0.3333
77,0.02,OSR.2.h.05,0.2741
78,0.04,OSR.2.h.05,0.2286
79,0.06,OSR.2.h.05,0.1906
80,0.08,OSR.2.h.05,0.1614
81,0.1,OSR.2.h.05,0.1408
82,0.12,OSR.2.h.05,0.1222
83,0.14,OSR.2.h.05,0.1073
84,0.16,OSR.2.h.05,0.0932
85,0.18,OSR.2.h.05,0.0874
86,0.2,OSR.2.h.05,0.0784
87,0.22,OSR.2.h.05,0.0736
88,0.24,OSR.2.h.05,0.0678
89,0.26,OSR.2.h.05,0.0601
90,0.28,OSR.2.h.05,0.0565
91,0.3,OSR.2.h.05,0.052
92,0.32,OSR.2.h.05,0.0471
