"","100","rd"
"0.02","0.332681977777778","0.02"
"0.04","0.329941925925926","0.04"
"0.06","0.325459548148148","0.06"
"0.08","0.31985042962963","0.08"
"0.1","0.313238148148148","0.1"
"0.12","0.305533703703704","0.12"
"0.14","0.299701614814815","0.14"
"0.16","0.288982666666667","0.16"
"0.18","0.282354459259259","0.18"
"0.2","0.275662466666667","0.2"
"0.22","0.271918940740741","0.22"
"0.24","0.263562392592593","0.24"
"0.26","0.258392503703704","0.26"
"0.28","0.253414007407407","0.28"
"0.3","0.255742303703704","0.3"
"0.32","0.244481207407407","0.32"
"0.34","0.249442651851852","0.34"
"0.36","0.249341385185185","0.36"
"0.38","0.241608540740741","0.38"
"0.4","0.252135392592593","0.4"
"0.42","0.250572466666667","0.42"
"0.44","0.247644125925926","0.44"
"0.46","0.2645028","0.46"
"0.48","0.262970044444444","0.48"
