"","500","rd"
"0.02","-0.120958452444444","0.02"
"0.04","-0.137329946666667","0.04"
"0.06","-0.148699199703704","0.06"
"0.08","-0.157424074666667","0.08"
"0.1","-0.165030680888889","0.1"
"0.12","-0.171130872888889","0.12"
"0.14","-0.176911786074074","0.14"
"0.16","-0.182967034666667","0.16"
"0.18","-0.186818441481481","0.18"
"0.2","-0.191980201185185","0.2"
"0.22","-0.195225153777778","0.22"
"0.24","-0.197569871703704","0.24"
"0.26","-0.20098944562963","0.26"
"0.28","-0.20357443762963","0.28"
"0.3","-0.205954312296296","0.3"
"0.32","-0.207440097185185","0.32"
"0.34","-0.210924877925926","0.34"
"0.36","-0.210164160592593","0.36"
"0.38","-0.212949122666667","0.38"
"0.4","-0.214650019555556","0.4"
"0.42","-0.21750888562963","0.42"
"0.44","-0.217060134814815","0.44"
"0.46","-0.218857090074074","0.46"
"0.48","-0.221555451259259","0.48"
